Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
24,Sat Mar 9 2024,12:45,CET/+0100,Mezőkövesdi SE,1-2,1-1,Diósgyöri VTK,2024-03-09T11:45Z
24,Sat Mar 9 2024,15:15,CET/+0100,Kecskeméti TE,3-1,2-1,Kisvárda FC,2024-03-09T14:15Z
24,Sun Mar 10 2024,13:00,CET/+0100,Paksi SE,1-1,0-1,Debreceni VSC,2024-03-10T12:00Z
24,Sun Mar 10 2024,20:00,CET/+0100,Zalaegerszegi TE,2-2,0-2,MTK Budapest,2024-03-10T19:00Z
24,Sun Mar 10 2024,15:30,CET/+0100,Fehérvár FC,0-2,0-1,Ferencvárosi TC,2024-03-10T14:30Z
25,Sat Mar 16 2024,17:45,CET/+0100,Kecskeméti TE,0-1,0-1,Fehérvár FC,2024-03-16T16:45Z
25,Sat Mar 16 2024,13:00,CET/+0100,Újpest FC,2-2,0-0,Mezőkövesdi SE,2024-03-16T12:00Z
25,Sat Mar 16 2024,15:30,CET/+0100,Diósgyöri VTK,2-1,1-1,Paksi SE,2024-03-16T14:30Z
25,Sun Mar 17 2024,17:30,CET/+0100,MTK Budapest,2-1,2-0,Kisvárda FC,2024-03-17T16:30Z
25,Sun Mar 17 2024,12:30,CET/+0100,Debreceni VSC,5-1,4-0,Zalaegerszegi TE,2024-03-17T11:30Z
25,Sun Mar 17 2024,14:45,CET/+0100,Ferencvárosi TC,1-1,0-0,Puskás FC,2024-03-17T13:45Z
26,Fri Mar 29 2024,20:00,CET/+0100,Puskás FC,0-0,0-0,Fehérvár FC,2024-03-29T19:00Z
26,Sat Mar 30 2024,14:30,CET/+0100,Kisvárda FC,1-3,1-1,Debreceni VSC,2024-03-30T13:30Z
26,Sat Mar 30 2024,17:00,CET/+0100,MTK Budapest,2-2,1-1,Kecskeméti TE,2024-03-30T16:00Z
26,Sat Mar 30 2024,19:30,CET/+0100,Zalaegerszegi TE,5-1,2-0,Diósgyöri VTK,2024-03-30T18:30Z
26,Sun Mar 31 2024,15:30,CEST/+0200,Paksi SE,1-2,1-1,Újpest FC,2024-03-31T13:30Z
26,Sun Mar 31 2024,18:00,CEST/+0200,Mezőkövesdi SE,0-3,0-1,Ferencvárosi TC,2024-03-31T16:00Z
27,Fri Apr 5 2024,20:00,CEST/+0200,Újpest FC,1-5,1-1,Zalaegerszegi TE,2024-04-05T18:00Z
27,Sat Apr 6 2024,14:15,CEST/+0200,Fehérvár FC,5-0,1-0,Mezőkövesdi SE,2024-04-06T12:15Z
27,Sat Apr 6 2024,16:30,CEST/+0200,Diósgyöri VTK,1-1,1-0,Kisvárda FC,2024-04-06T14:30Z
27,Sat Apr 6 2024,19:30,CEST/+0200,Debreceni VSC,1-2,0-1,MTK Budapest,2024-04-06T17:30Z
27,Sun Apr 7 2024,17:30,CEST/+0200,Kecskeméti TE,1-2,1-0,Puskás FC,2024-04-07T15:30Z
27,Sun Apr 7 2024,14:45,CEST/+0200,Ferencvárosi TC,1-0,0-0,Paksi SE,2024-04-07T12:45Z
21,Wed Apr 10 2024,18:00,CEST/+0200,Ferencvárosi TC,2-1,2-0,Diósgyöri VTK,2024-04-10T16:00Z
28,Sat Apr 13 2024,14:30,CEST/+0200,Kisvárda FC,4-1,3-1,Újpest FC,2024-04-13T12:30Z
28,Sat Apr 13 2024,17:00,CEST/+0200,Debreceni VSC,1-0,0-0,Kecskeméti TE,2024-04-13T15:00Z
28,Sat Apr 13 2024,19:30,CEST/+0200,Paksi SE,1-2,0-1,Fehérvár FC,2024-04-13T17:30Z
28,Sun Apr 14 2024,16:30,CEST/+0200,Zalaegerszegi TE,2-3,0-2,Ferencvárosi TC,2024-04-14T14:30Z
28,Sun Apr 14 2024,18:45,CEST/+0200,Mezőkövesdi SE,0-4,0-3,Puskás FC,2024-04-14T16:45Z
28,Sun Apr 14 2024,14:00,CEST/+0200,MTK Budapest,1-1,1-0,Diósgyöri VTK,2024-04-14T12:00Z
29,Sat Apr 20 2024,14:30,CEST/+0200,Puskás FC,5-0,1-0,Paksi SE,2024-04-20T12:30Z
29,Sat Apr 20 2024,17:00,CEST/+0200,Ferencvárosi TC,0-0,0-0,Kisvárda FC,2024-04-20T15:00Z
29,Sat Apr 20 2024,19:30,CEST/+0200,Diósgyöri VTK,5-3,2-1,Debreceni VSC,2024-04-20T17:30Z
29,Sun Apr 21 2024,16:00,CEST/+0200,Fehérvár FC,1-1,0-0,Zalaegerszegi TE,2024-04-21T14:00Z
29,Sun Apr 21 2024,18:30,CEST/+0200,Újpest FC,1-2,1-0,MTK Budapest,2024-04-21T16:30Z
29,Sun Apr 21 2024,14:05,CEST/+0200,Kecskeméti TE,2-1,1-1,Mezőkövesdi SE,2024-04-21T12:05Z
30,Fri Apr 26 2024,20:00,CEST/+0200,Zalaegerszegi TE,1-0,0-0,Puskás FC,2024-04-26T18:00Z
30,Sat Apr 27 2024,17:00,CEST/+0200,Diósgyöri VTK,0-0,0-0,Kecskeméti TE,2024-04-27T15:00Z
30,Sat Apr 27 2024,19:30,CEST/+0200,Debreceni VSC,1-0,0-0,Újpest FC,2024-04-27T17:30Z
