Stage,Round,Date,Time,Team 1,FT,HT,Team 2
Clausura,5,Sat Feb 2 2019,02:00,Monarcas Morelia,1-2,0-0,Atlas Guadalajara
Clausura,5,Sun Feb 3 2019,00:00,CF América,2-0,1-0,Gallos Blancos
Clausura,5,Sun Feb 3 2019,23:00,Lobos BUAP,1-1,0-0,CF Pachuca
Clausura,5,Sun Feb 3 2019,02:00,Club León,2-0,2-0,Cruz Azul
Clausura,5,Sun Feb 3 2019,02:00,UANL Tigres,2-1,1-1,Santos Laguna
Clausura,5,Sun Feb 3 2019,04:06,Club Tijuana,2-0,1-0,Deportivo Toluca
Clausura,5,Sun Feb 3 2019,19:00,Pumas UNAM,1-1,0-1,CF Monterrey
Clausura,5,Tue Feb 5 2019,01:36,Deportivo Guadalajara,0-0,0-0,CD Veracruz
Clausura,6,Sat Feb 9 2019,04:00,Atlas Guadalajara,1-2,1-1,Puebla FC
Clausura,6,Sat Feb 9 2019,02:00,CD Veracruz,0-2,0-0,UANL Tigres
Clausura,6,Sun Feb 10 2019,02:00,CF Pachuca,2-0,0-0,Monarcas Morelia
Clausura,6,Sun Feb 10 2019,00:00,CF Monterrey,4-0,2-0,Lobos BUAP
Clausura,6,Sun Feb 10 2019,00:00,Gallos Blancos,0-2,0-1,Pumas UNAM
Clausura,6,Sun Feb 10 2019,04:00,Club Necaxa,3-3,0-1,Deportivo Guadalajara
Clausura,6,Sun Feb 10 2019,19:00,Deportivo Toluca,1-1,0-1,Cruz Azul
Clausura,6,Sun Feb 10 2019,02:00,CF América,0-3,0-1,Club León
Clausura,6,Mon Feb 11 2019,01:00,Santos Laguna,1-1,0-1,Club Tijuana
Clausura,7,Sat Feb 16 2019,04:00,Puebla FC,1-1,0-1,CF Pachuca
Clausura,7,Sat Feb 16 2019,04:06,Club Tijuana,3-0,2-0,CD Veracruz
Clausura,7,Sat Feb 16 2019,02:00,Monarcas Morelia,2-3,1-1,CF Monterrey
Clausura,7,Sun Feb 17 2019,23:00,Lobos BUAP,3-1,1-1,Gallos Blancos
Clausura,7,Sun Feb 17 2019,00:00,Cruz Azul,1-2,1-1,Santos Laguna
Clausura,7,Sun Feb 17 2019,02:00,Club León,3-0,0-0,Deportivo Toluca
Clausura,7,Sun Feb 17 2019,02:00,UANL Tigres,3-2,1-0,Club Necaxa
Clausura,7,Sun Feb 17 2019,04:00,Deportivo Guadalajara,3-0,2-0,Atlas Guadalajara
Clausura,7,Sun Feb 17 2019,19:00,Pumas UNAM,1-0,0-0,CF América
Clausura,8,Sat Feb 23 2019,04:00,CD Veracruz,1-1,1-0,Cruz Azul
Clausura,8,Sat Feb 23 2019,04:00,Atlas Guadalajara,0-1,0-0,UANL Tigres
Clausura,8,Sun Feb 24 2019,02:00,CF Monterrey,0-0,0-0,Puebla FC
Clausura,8,Sun Feb 24 2019,00:00,Gallos Blancos,3-0,0-0,Monarcas Morelia
Clausura,8,Sun Feb 24 2019,02:00,CF América,3-0,1-0,Lobos BUAP
Clausura,8,Sun Feb 24 2019,19:00,Pumas UNAM,1-3,0-2,Club León
Clausura,8,Sun Feb 24 2019,04:00,CF Pachuca,3-1,1-1,Deportivo Guadalajara
Clausura,8,Sun Feb 24 2019,04:00,Club Necaxa,1-2,0-0,Club Tijuana
Clausura,8,Mon Feb 25 2019,01:06,Santos Laguna,4-0,3-0,Deportivo Toluca
Clausura,9,Sat Mar 2 2019,04:00,Club Tijuana,3-1,2-0,Atlas Guadalajara
Clausura,9,Sat Mar 2 2019,04:00,Monarcas Morelia,2-2,1-0,CF América
Clausura,9,Sun Mar 3 2019,23:00,Lobos BUAP,2-1,1-0,Pumas UNAM
Clausura,9,Sun Mar 3 2019,00:00,Cruz Azul,2-1,0-1,Club Necaxa
Clausura,9,Sun Mar 3 2019,02:00,Club León,3-0,0-0,Santos Laguna
Clausura,9,Sun Mar 3 2019,19:00,Deportivo Toluca,3-1,1-1,CD Veracruz
Clausura,9,Sun Mar 3 2019,04:00,Deportivo Guadalajara,0-2,0-1,CF Monterrey
Clausura,9,Sun Mar 3 2019,02:00,UANL Tigres,3-0,3-0,CF Pachuca
Clausura,9,Tue Mar 5 2019,03:00,Puebla FC,1-0,1-0,Gallos Blancos
Clausura,1,Wed Mar 6 2019,03:45,CF América,1-3,1-0,Club Necaxa
Clausura,10,Sat Mar 9 2019,02:00,CD Veracruz,2-2,1-1,Santos Laguna
Clausura,10,Sat Mar 9 2019,04:00,Atlas Guadalajara,0-2,0-1,Cruz Azul
Clausura,10,Sun Mar 10 2019,02:00,CF Monterrey,1-1,1-0,UANL Tigres
Clausura,10,Sun Mar 10 2019,23:00,Lobos BUAP,0-1,0-1,Club León
Clausura,10,Sun Mar 10 2019,00:00,CF Pachuca,4-0,2-0,Club Tijuana
Clausura,10,Sun Mar 10 2019,04:00,Club Necaxa,1-1,0-0,Deportivo Toluca
Clausura,10,Sun Mar 10 2019,04:00,Gallos Blancos,0-0,0-0,Deportivo Guadalajara
Clausura,10,Sun Mar 10 2019,19:00,Pumas UNAM,2-2,0-1,Monarcas Morelia
Clausura,10,Sun Mar 10 2019,02:00,CF América,1-0,0-0,Puebla FC
Clausura,11,Sat Mar 16 2019,02:00,Monarcas Morelia,1-1,1-1,Lobos BUAP
Clausura,11,Sat Mar 16 2019,04:00,Puebla FC,1-0,0-0,Pumas UNAM
Clausura,11,Sun Mar 17 2019,02:00,Deportivo Guadalajara,0-2,0-1,CF América
Clausura,11,Sun Mar 17 2019,00:00,Cruz Azul,4-1,2-0,CF Pachuca
Clausura,11,Sun Mar 17 2019,19:00,Deportivo Toluca,2-0,1-0,Atlas Guadalajara
Clausura,11,Sun Mar 17 2019,04:06,Club Tijuana,1-0,0-0,CF Monterrey
Clausura,11,Sun Mar 17 2019,04:00,UANL Tigres,4-1,2-0,Gallos Blancos
Clausura,11,Mon Mar 18 2019,01:06,Santos Laguna,1-2,0-1,Club Necaxa
Clausura,11,Mon Mar 18 2019,03:00,Club León,2-0,2-0,CD Veracruz
