Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,UTC
Playoffs - Championship,29,Sun May 14 2023,14:30,CEST/+0200,Sturm Graz,4-1,2-1,SK Austria Klagenfurt,,2023-05-14T12:30Z
Playoffs - Relegation,30,Fri May 19 2023,19:30,CEST/+0200,SV Ried,0-1,0-0,SCR Altach,,2023-05-19T17:30Z
Playoffs - Relegation,30,Sat May 20 2023,17:00,CEST/+0200,TSV Hartberg,0-2,0-1,Wolfsberger AC,,2023-05-20T15:00Z
Playoffs - Relegation,30,Sat May 20 2023,17:00,CEST/+0200,Austria Lustenau,2-4,0-2,WSG Tirol,,2023-05-20T15:00Z
Playoffs - Championship,30,Sun May 21 2023,17:00,CEST/+0200,RB Salzburg,2-1,0-1,Sturm Graz,,2023-05-21T15:00Z
Playoffs - Championship,30,Sun May 21 2023,14:30,CEST/+0200,Rapid Wien,1-1,1-0,LASK,,2023-05-21T12:30Z
Playoffs - Championship,30,Sun May 21 2023,14:30,CEST/+0200,SK Austria Klagenfurt,1-1,0-0,Austria Wien,,2023-05-21T12:30Z
Playoffs - Relegation,31,Sat May 27 2023,17:00,CEST/+0200,TSV Hartberg,2-0,0-0,SV Ried,,2023-05-27T15:00Z
Playoffs - Relegation,31,Sat May 27 2023,17:00,CEST/+0200,SCR Altach,1-1,1-0,Austria Lustenau,,2023-05-27T15:00Z
Playoffs - Relegation,31,Sat May 27 2023,17:00,CEST/+0200,Wolfsberger AC,2-0,2-0,WSG Tirol,,2023-05-27T15:00Z
Playoffs - Championship,31,Sun May 28 2023,17:00,CEST/+0200,Rapid Wien,3-2,2-2,Sturm Graz,,2023-05-28T15:00Z
Playoffs - Championship,31,Sun May 28 2023,17:00,CEST/+0200,RB Salzburg,3-2,0-2,SK Austria Klagenfurt,,2023-05-28T15:00Z
Playoffs - Championship,31,Sun May 28 2023,17:00,CEST/+0200,LASK,3-1,1-0,Austria Wien,,2023-05-28T15:00Z
Playoffs - Relegation,32,Fri Jun 2 2023,19:30,CEST/+0200,SV Ried,1-2,1-0,Wolfsberger AC,,2023-06-02T17:30Z
Playoffs - Relegation,32,Fri Jun 2 2023,19:30,CEST/+0200,Austria Lustenau,5-1,3-0,TSV Hartberg,,2023-06-02T17:30Z
Playoffs - Relegation,32,Fri Jun 2 2023,19:30,CEST/+0200,WSG Tirol,1-1,1-0,SCR Altach,,2023-06-02T17:30Z
Playoffs - Championship,32,Sat Jun 3 2023,17:00,CEST/+0200,SK Austria Klagenfurt,2-1,0-0,Rapid Wien,,2023-06-03T15:00Z
Playoffs - Championship,32,Sat Jun 3 2023,17:00,CEST/+0200,Sturm Graz,2-0,2-0,LASK,,2023-06-03T15:00Z
Playoffs - Championship,32,Sat Jun 3 2023,17:00,CEST/+0200,Austria Wien,1-1,0-1,RB Salzburg,,2023-06-03T15:00Z
Europa League Finals,Semifinals,Mon Jun 5 2023,19:00,CEST/+0200,Wolfsberger AC,1-1,0-0,Austria Lustenau,1-2,2023-06-05T17:00Z
Europa League Finals,Final,Thu Jun 8 2023,17:00,CEST/+0200,Austria Lustenau,1-1,1-0,Austria Wien,,2023-06-08T15:00Z
Europa League Finals,Final,Sun Jun 11 2023,17:00,CEST/+0200,Austria Wien,5-0,1-0,Austria Lustenau,,2023-06-11T15:00Z
